,Name,Address,Latitude,Longitude
0,Acca Palace,"Via Don Bartolomeo Grazioli, 16A, 20161 Milano MI, Italia, Milano, Lombardia 20161, ITA",45.5099969,9.1739942
1,Enterprise Hotel Design Boutique,"Corso Sempione, 91, 20149 Milano MI, Italia, Milano, Lombardia 20149, ITA",45.4867005,9.1575137
2,NYX Milan,"Piazza 4 Novembre, 3, 20124 Milano MI, Italia, Milano, Lombardia 20124, ITA",45.4868745,9.2018406
3,Excelsior Hotel Gallia Luxury Collection Hotel,"Piazza Duca d'Aosta, 9, 20124 Milano MI, Italia, Milano, Lombardia 20124, ITA",45.4857027,9.2020127
4,Hotel Dei Cavalieri,"Piazza Giuseppe Missori, 20123 Milano MI, Italia, Milano, Lombardia 20123, ITA",45.4608547,9.1886179
5,Armani Hotel Milano,"Via Alessandro Manzoni, 31A, 20121 Milano MI, Italia, Milano, Lombardia 20121, ITA",45.470532,9.19302
6,Park Hyatt Milano,"Via Tommaso Grossi, 1, 20121 Milano MI, Italia, Milano, Lombardia 20121, ITA",45.4654912,9.1889612
7,TH Street Duomo,"Via Santa Radegonda, 14, 20121 Milano MI, Italia, Milano, Lombardia 20121, ITA",45.4657568,9.1916674
8,The Westin Palace,"Piazza della Repubblica, 22, 20124 Milano MI, Italia, Milano, Lombardia 20124, ITA",45.4790357,9.199028
9,Maison Borella,"Alzaia Naviglio Grande, 8, 20144 Milano MI, Italia, Milano, Lombardia 20144, ITA",45.4521067,9.1758135
10,Style Hotel,"Via Mercato, 1, 20121 Milano MI, Italia, Milano, Lombardia 20121, ITA",45.4708973,9.1840992
11,ME Milan Il Duca,"Via Marco Polo, 18, 20124 Milano MI, Italia, Milano, Lombardia 20124, ITA",45.4793852,9.1961308
12,ADI Doria Grand Hotel,"Viale Andrea Doria, 22, 20124 Milano MI, Italia, Milano, Lombardia 20124, ITA",45.4853717,9.2115837
13,Hotel Manin,"Via Daniele Manin, 9, 20121 Milano MI, Italia, Milano, Lombardia 20121, ITA",45.4739801,9.1960671
14,Hotel Michelangelo,"20124 Milano MI, Italia, Milano, Lombardia 20124, ITA",45.4845143,9.2057532
15,Four Seasons Hotel Milano,"Via Gesù, 6, 20121 Milano MI, Italia, Milano, Lombardia 20121, ITA",45.469339,9.195108
16,ADI Hotel Poliziano Fiera,"Via Angelo Poliziano, 11, 20154 Milano MI, Italia, Milano, Lombardia 20154, ITA",45.4837173,9.1649371
17,IH Hotels Milano Lorenteggio,"Via Lorenteggio, 20152 Milano MI, Italia, Milano, Lombardia 20152, ITA",45.4436132,9.1161094
18,The Square Milano Duomo,"Via Alberico Albricci, 4, 20122 Milano MI, Italia, Milano, Lombardia 20122, ITA",45.4608604,9.1890215
19,Hotel Milano Scala,"Via dell'Orso, 5, 20121 Milano MI, Italia, Milano, Lombardia 20121, ITA",45.4689376,9.1868891
20,Hotel Tiziano Park Vita Parcour Gruppo MiniHotels,"Via Tiziano, 6, 20145 Milano MI, Italia, Milano, Lombardia 20145, ITA",45.4709657,9.1566242
21,Hotel Regina,"Via Cesare Correnti, 15, 20123 Milano MI, Italia, Milano, Lombardia 20123, ITA",45.459485,9.179511
22,Ramada Plaza Milano,"Via Ilarione Rancati, 20127 Milano MI, Italia, Milano, Lombardia 20127, ITA",45.501946,9.2277569
23,Starhotels Tourist,"20126 Milano MI, Italia, Milano, Lombardia 20126, ITA",45.5266395,9.2131549
24,Holiday Inn Milan Garibaldi Station,"Via Ugo Bassi, 1A, 20159 Milano MI, Italia, Milano, Lombardia 20159, ITA",45.488764,9.183057
25,Hotel Raffaello,"Viale Certosa, 20156 Milano MI, Italia, Milano, Lombardia 20156, ITA",45.494861,9.141551
26,Uptown Palace,"Via Santa Sofia, 10, 20122 Milano MI, Italia, Milano, Lombardia 20122, ITA",45.4574655,9.1919138
27,Best Western Hotel St George,"Viale Tunisia, 9, 20124 Milano MI, Italia, Milano, Lombardia 20124, ITA",45.4770906,9.2054208
28,Milan Suite Hotel,"Via Varesina, 105, 20156 Milano MI, Italia, Milano, Lombardia 20156, ITA",45.5000245,9.1428722
29,Hotel Mediolanum,"Via Mauro Macchi, 1, 20124 Milano MI, Italia, Milano, Lombardia 20124, ITA",45.4813423,9.2039494
30,MiHotel,"Via dei Fontanili, 26, 20141 Milano MI, Italia, Milano, Lombardia 20141, ITA",45.4405621,9.1921165
31,LaGare Hotel Milano Centrale MGallery by Sofitel,"Via Giovanni Battista Pirelli, 20, 20124 Milano MI, Italia, Milano, Lombardia 20124, ITA",45.484237,9.198858
32,Worldhotel Cristoforo Colombo,"Corso Buenos Aires, 3, 20124 Milano MI, Italia, Milano, Lombardia 20124, ITA",45.4758842,9.205791
33,The Hub Hotel,"Via Privata Polonia, 10, 20157 Milano MI, Italia, Milano, Lombardia 20157, ITA",45.5138582,9.1194759
34,Hotel Crivi s,"Corso di Porta Vigentina, 46, 20122 Milano MI, Italia, Milano, Lombardia 20122, ITA",45.4529643,9.1962217
35,Palazzo Segreti,"Via San Tomaso, 8B, 20121 Milano MI, Italia, Milano, Lombardia 20121, ITA",45.4672309,9.184154
36,TownHouse Duomo,"Piazza del Duomo, 19A, 20121 Milano MI, Italia, Milano, Lombardia 20121, ITA",45.4648822,9.1893265
37,NH Milano Machiavelli,"Via Lazzaretto, 5, 20124 Milano MI, Italia, Milano, Lombardia 20124, ITA",45.4776167,9.2016244
38,Mandarin Oriental Milan,"Via Monte di Pietà, 14, 20121 Milano MI, Italia, Milano, Lombardia 20121, ITA",45.4694772,9.1909325
39,Hotel Wagner,"Via Michelangelo Buonarroti, 13, 20145 Milano MI, Italia, Milano, Lombardia 20145, ITA",45.4684949,9.1550355
40,Hotel Sunflower,"Piazzale Lugano, 20158 Milano MI, Italia, Milano, Lombardia 20158, ITA",45.498503,9.1664111
41,Best Western Hotel City,"Galleria delle Carrozze, 20124 Milano MI, Italia, Milano, Lombardia 20124, ITA",45.4858877,9.2042827
42,Hotel Boutique Duomo,"Via Francesco Caracciolo, 62, 20155 Milano MI, Italia, Milano, Lombardia 20155, ITA",45.4909585,9.1614268
43,Hotel Manzoni,"Via Santo Spirito, 20, 20121 Milano MI, Italia, Milano, Lombardia 20121, ITA",45.470238,9.195347
44,Best Western Atlantic Hotel,"Via Napo Torriani, 24, 20124 Milano MI, Italia, Milano, Lombardia 20124, ITA",45.4830211,9.2033246
45,Antares Hotel Accademia,"Viale Certosa, 68, 20155 Milano MI, Italia, Milano, Lombardia 20155, ITA",45.4921089,9.1476806
46,AC Hotel Milano a Marriott Lifestyle Hotel,"Via Enrico Tazzoli, 2, 20154 Milano MI, Italia, Milano, Lombardia 20154, ITA",45.4851799,9.1831189
47,Glam Milano,"Piazza Duca d'Aosta, 4, 20124 Milano MI, Italia, Milano, Lombardia 20124, ITA",45.4838504,9.2034067
48,Sheraton Diana Majestic,"Viale Piave, 42, 20129 Milano MI, Italia, Milano, Lombardia 20129, ITA",45.4736557,9.2066824
49,IH Hotels Milano Puccini,"Corso Buenos Aires, 33, 20124 Milano MI, Italia, Milano, Lombardia 20124, ITA",45.4794406,9.2096756
50,Baglioni Hotel Carlton The Leading Hotels of the World,"Via Senato, 5, 20121 Milano MI, Italia, Milano, Lombardia 20121, ITA",45.4691663,9.1984454
51,UNA Hotel Mediterraneo,"20135 Milano MI, Italia, Milano, Lombardia 20135, ITA",45.451873,9.20548
52,Hotel Mercure Milano Solari,"Via Pietro Orseolo, 1, 20144 Milano MI, Italia, Milano, Lombardia 20144, ITA",45.4565757,9.1684824
53,Sina De La Ville,"Via Ulrico Hoepli, 4, 20121 Milano MI, Italia, Milano, Lombardia 20121, ITA",45.465957,9.192297
