,Name,Address,Latitude,Longitude
1200,LHP Hotel Napoleon,"Via Federico Ozanam, 12, 20129 Milano MI, Italia, Milano, Lombardia 20129, ITA",45.4802415,9.2131919
1201,Klima Hotel Milano Fiere,"Via Venezia Giulia, 8, 20157 Milano MI, Italia, Milano, Lombardia 20157, ITA",45.5147974,9.116606
1202,Hotel Vittoria,"Via Pietro Calvi, 34, 20129 Milano MI, Italia, Milano, Lombardia 20129, ITA",45.463135,9.2102
1203,Colombia,"Via Roberto Lepetit, 15, 20124 Milano MI, Italia, Milano, Lombardia 20124, ITA",45.4829817,9.2041911
1204,Milan Marriott Hotel,"Via George Washington, 66, 20146 Milano MI, Italia, Milano, Lombardia 20146, ITA",45.4611287,9.1542675
1205,Boscolo Milano Autograph Collection,"Corso Giacomo Matteotti, 4, 20121 Milano MI, Italia, Milano, Lombardia 20121, ITA",45.46676,9.194293
1206,Hotel Lloyd,"Corso di Porta Romana, 48, 20122 Milano MI, Italia, Milano, Lombardia 20122, ITA",45.4580781,9.1924205
1207,Art Hotel Navigli,"Via Angelo Carlo Fumagalli, 4, 20143 Milano MI, Italia, Milano, Lombardia 20143, ITA",45.4501306,9.1696481
1208,Barcel Milan,"Via Cesare Musatti, 8, 20157 Milano MI, Italia, Milano, Lombardia 20157, ITA",45.51152,9.1241306
1209,Brunelleschi Hotel,"Via Flavio Baracchini, 10, 20122 Milano MI, Italia, Milano, Lombardia 20122, ITA",45.461177,9.191047
1210,Windsor Hotel Milano,"Viale Monte Santo, 6, 20124 Milano MI, Italia, Milano, Lombardia 20124, ITA",45.4794587,9.1951427
1211,Hotel Cavour,"Via Fatebenefratelli, 21, 20121 Milano MI, Italia, Milano, Lombardia 20121, ITA",45.4726942,9.1943911
1212,Hotel Clerici,"Via Clerici, 5, 20121 Milano MI, Italia, Milano, Lombardia 20121, ITA",45.4667717,9.1871001
1213,The Yard Milano,"Piazza 24 Maggio, 8, 20123 Milano MI, Italia, Milano, Lombardia 20123, ITA",45.453152,9.179172
1214,Starhotels Business Palace,"Via Carlo Boncompagni, 55/1, 20139 Milano MI, Italia, Milano, Lombardia 20139, ITA",45.43784,9.230901
1215,Best Western Hotel Mirage,"Viale Certosa, 106, 20156 Milano MI, Italia, Milano, Lombardia 20156, ITA",45.4947129,9.1418864
