,Name,Address,Latitude,Longitude
1000,Chiswick Rooms,"409 Goldhawk Road, London, W6 0, United Kingdom, London, England W6 0, GBR",51.4937409,-0.244896
1001,Mercure London Bloomsbury Hotel,"7 Cosmo Place, London, WC1N 3AP, United Kingdom, London, England WC1N 3AP, GBR",51.5210085,-0.1230966
1002,Haymarket Hotel,"21 Suffolk Street, London, SW1Y 4, United Kingdom, London, England SW1Y 4, GBR",51.5084595,-0.1311382
1003,BEST WESTERN Maitrise Hotel Maida Vale,"53a Kilburn High Road, London, NW6 5SB, United Kingdom, London, England NW6 5SB, GBR",51.5366053,-0.1919832
1004,Novotel London Greenwich,"Greenwich High Road, London, SE10 8, United Kingdom, London, England SE10 8, GBR",51.4778583,-0.0137463
1005,London Marriott Hotel West India Quay,"22 Hertsmere Road, London, E14 4ED, United Kingdom, London, England E14 4ED, GBR",51.5072713,-0.0211213
1006,Clayton Crown Hotel London,"142 Cricklewood Broadway, London, NW2 3, United Kingdom, London, England NW2 3, GBR",51.5561548,-0.2141824
1007,citizenM London Shoreditch,"EC2A 3EX, London, England, United Kingdom, London, England EC2A 3EX, GBR",51.5241373,-0.0786983
1008,The Pelham Starhotels Collezione,"18a Cromwell Place, London, SW7 2, United Kingdom, London, England SW7 2, GBR",51.4943935,-0.1750169
1009,The Nadler Kensington,"25 Courtfield Gardens, London, SW5 0PG, United Kingdom, London, England SW5 0PG, GBR",51.4931086,-0.190208
1010,Novotel London Waterloo,"113 Lambeth Road, London, SE1 7LS, United Kingdom, London, England SE1 7LS, GBR",51.4948465,-0.1187481
1011,The Hoxton Holborn,"203 High Holborn, London, WC1V 6, United Kingdom, London, England WC1V 6, GBR",51.5172398,-0.1220324
1012,Grange Blooms Hotel,"22a Montague Street, London, WC1B 5, United Kingdom, London, England WC1B 5, GBR",51.5196913,-0.1254243
1013,The Westbridge Hotel,"335 High Street, London, E15 2TF, United Kingdom, London, England E15 2TF, GBR",51.5373904,-0.0023367
1014,Hotel Moonlight,"SW5 0TP, London, England, United Kingdom, London, England SW5 0TP, GBR",51.4940285,-0.1910497
1015,Bermondsey Square Hotel A Bespoke Hotel,"157 Tower Bridge Road, London, SE1 3, United Kingdom, London, England SE1 3, GBR",51.4991134,-0.0790969
1016,Radisson Blu Edwardian New Providence Wharf,"5 Fairmont Avenue, London, E14 9PL, United Kingdom, London, England E14 9PL, GBR",51.5065578,-0.004514
1017,London Marriott Hotel Kensington,"147 Cromwell Road, London, SW7 4DW, United Kingdom, London, England SW7 4DW, GBR",51.4944849,-0.1884174
1018,Grange Strathmore Hotel,"41 Queen's Gate Gardens, London, SW7 5NB, United Kingdom, London, England SW7 5NB, GBR",51.4958184,-0.1813958
1019,COMO Metropolitan London,"W1K 1LB, London, England, United Kingdom, London, England W1K 1LB, GBR",51.5050355,-0.1500864
1020,Henley House Hotel,"28 Barkston Gardens, London, SW5 0EN, United Kingdom, London, England SW5 0EN, GBR",51.4922348,-0.1914229
1021,The Rookery,"Peters Lane, London, EC1M 6, United Kingdom, London, England EC1M 6, GBR",51.520171,-0.102463
1022,The Savoy,"19 Lancaster Place, London, WC2E 7, United Kingdom, London, England WC2E 7, GBR",51.5111922,-0.1194006
1023,Club Quarters Hotel Lincoln s Inn Fields,"61 Lincoln's Inn Fields, London, WC2A 3JW, United Kingdom, London, England WC2A 3JW, GBR",51.5160988,-0.1181749
1024,Grange St Paul s Hotel,"Carter Lane, London, EC4M 8, United Kingdom, London, England EC4M 8, GBR",51.5127625,-0.0997157
