,Name,Address,Latitude,Longitude
900,Simply Rooms Suites,"21 Avonmore Road, London, W14 8RP, United Kingdom, London, England W14 8RP, GBR",51.4944875,-0.2070605
901,Park Grand London Lancaster Gate,"14-16 Craven Hill, London, W2 3, United Kingdom, London, England W2 3, GBR",51.5132069,-0.1807816
902,The Portobello Hotel,"21 Stanley Gardens, London, W11 2, United Kingdom, London, England W11 2, GBR",51.512257,-0.2034244
903,Grange Beauchamp Hotel,"28a Bedford Place, London, WC1B 5, United Kingdom, London, England WC1B 5, GBR",51.5203266,-0.1245891
904,Park Plaza Sherlock Holmes London,"108 Baker Street, London, W1U 6LJ, United Kingdom, London, England W1U 6LJ, GBR",51.5209191,-0.1566567
905,The Cleveland,"44 Cleveland Square, London, W2 6DA, United Kingdom, London, England W2 6DA, GBR",51.5139692,-0.1828202
906,Hotel Xanadu,"26 Bond Street, London, W5 5AA, United Kingdom, London, England W5 5AA, GBR",51.5117907,-0.306071
907,Bentley London,"SW7 4JX, London, England, United Kingdom, London, England SW7 4JX, GBR",51.4928147,-0.1841753
908,London Suites,"228 Mile End Road, London, E1 4LJ, United Kingdom, London, England E1 4LJ, GBR",51.5215508,-0.0469238
909,Mimi s Hotel Soho,"56 Frith Street, London, W1D 3JG, United Kingdom, London, England W1D 3JG, GBR",51.5140329,-0.1320651
910,Sydney House Chelsea,"23 Sydney Street, London, SW3 6PU, United Kingdom, London, England SW3 6PU, GBR",51.4910062,-0.1717691
911,Fifty Four Boutique Hotel,"55 Queen's Gate, London, SW7 5JW, United Kingdom, London, England SW7 5JW, GBR",51.4963008,-0.1796853
912,Doubletree by Hilton London Kensington,"100 Queen's Gate, London, SW7 5AG, United Kingdom, London, England SW7 5AG, GBR",51.4925138,-0.1787917
913,Baglioni Hotel London The Leading Hotels of the World,"58 Kensington Road, London, W8 5, United Kingdom, London, England W8 5, GBR",51.5017224,-0.1846243
914,Karma Sanctum Soho Hotel,"20 Warwick Street, London, W1B 5NF, United Kingdom, London, England W1B 5NF, GBR",51.5116049,-0.1383145
915,Adria Boutique Hotel,"93 Queen's Gate, London, SW7 5AB, United Kingdom, London, England SW7 5AB, GBR",51.4933372,-0.1788931
916,Holiday Inn London Wembley,"10 Empire Way, Wembley, HA9 0QX, United Kingdom, Wembley, England HA9 0QX, GBR",51.5590955,-0.284704
917,Hilton London Canary Wharf,"3 Marsh Wall, London, E14 9, United Kingdom, London, England E14 9, GBR",51.5007324,-0.01655
918,Radisson Blu Edwardian Kenilworth,"Bloomsbury Street, London, WC1B 3, United Kingdom, London, England WC1B 3, GBR",51.5179725,-0.1280495
919,Sofitel London St James,"8 Royal Opera Arcade, London, SW1Y 4, United Kingdom, London, England SW1Y 4, GBR",51.5076044,-0.132266
920,Kingsway Hall Hotel,"66 Great Queen Street, London, WC2B 5BX, United Kingdom, London, England WC2B 5BX, GBR",51.5158643,-0.1200625
921,The Ampersand Hotel,"10 Harrington Road, London, SW7 2, United Kingdom, London, England SW7 2, GBR",51.4943077,-0.1755579
