,Name,Address,Latitude,Longitude
0,Hotel Zeitgeist Vienna Hauptbahnhof,"Rieplstraße, 1100 Wien, Österreich, Wien, Wien 1100, AUT",48.1829645,16.3776709
1,Hotel Royal,"Singerstraße 3, 1010 Wien, Österreich, Wien, Wien 1010, AUT",48.2078727,16.3724042
2,Eurostars Embassy,"Landstraßer Hauptstraße 122, 1030 Wien, Österreich, Wien, Wien 1030, AUT",48.1964001,16.3958668
3,Hotel Wandl,"Petersplatz 9, 1010 Wien, Österreich, Wien, Wien 1010, AUT",48.2097026,16.3703902
4,City Rooms,"Daungasse 1, 1080 Wien, Österreich, Wien, Wien 1080, AUT",48.2133296,16.3471399
5,The Ring Vienna s Casual Luxury Hotel,"Kärntner Ring 8, 1010 Wien, Österreich, Wien, Wien 1010, AUT",48.2017091,16.3710205
6,Hotel ViennArt am Museumsquartier,"Breite Gasse 9, 1070 Wien, Österreich, Wien, Wien 1070, AUT",48.2035677,16.356445
7,Hilton Garden Inn Vienna South,"Hertha-Firnberg-Straße 5, 1100 Wien, Österreich, Wien, Wien 1100, AUT",48.1667886,16.344908
8,Austria Trend Parkhotel Sch nbrunn Wien,"Hietzinger Hauptstraße 10-16, 1130 Wien, Österreich, Wien, Wien 1130, AUT",48.1866506,16.3023375
9,Hollmann Beletage Design Boutique,"Köllnerhofgasse 6, 1010 Wien, Österreich, Wien, Wien 1010, AUT",48.2105156,16.3760717
10,Steigenberger Hotel Herrenhof,"Herrengasse 10, 1010 Wien, Österreich, Wien, Wien 1010, AUT",48.2097958,16.3658705
11,Hotel Corvinus,"Mariahilfer Straße 57-59, 1060 Wien, Österreich, Wien, Wien 1060, AUT",48.1990335,16.3525051
12,Rainers Hotel Vienna,"1100 Wien, Österreich, Wien, Wien 1100, AUT",48.1791893,16.3625367
13,Hotel Gallitzinberg,"Johann-Staud-Straße 32, 1160 Wien, Österreich, Wien, Wien 1160, AUT",48.2145071,16.2845042
14,The Guesthouse Vienna,"Führichgasse 10, 1010 Wien, Österreich, Wien, Wien 1010, AUT",48.2051299,16.369036
15,Mercure Hotel Raphael Wien,"Wallgasse 23, 1060 Wien, Österreich, Wien, Wien 1060, AUT",48.1919288,16.3391395
16,The Harmonie Vienna,"Harmoniegasse 5, 1090 Wien, Österreich, Wien, Wien 1090, AUT",48.2199427,16.3598984
17,BEST WESTERN PLUS Amedia Wien,"Landstraßer Hauptstraße 155, 1030 Wien, Österreich, Wien, Wien 1030, AUT",48.1923791,16.3994512
18,Arion Cityhotel Vienna und Appartements,"Hintschiggasse 1, 1100 Wien, Österreich, Wien, Wien 1100, AUT",48.1585332,16.3451115
19,Austria Trend Hotel Astoria Wien,"Kärntner Straße 34, 1010 Wien, Österreich, Wien, Wien 1010, AUT",48.2044655,16.3702399
20,Hotel Boltzmann,"Boltzmanngasse 8, 1090 Wien, Österreich, Wien, Wien 1090, AUT",48.2216779,16.3567111
21,The Levante Parliament A Design Hotel,"Josefsgasse 1, 1080 Wien, Österreich, Wien, Wien 1080, AUT",48.2083518,16.354532
22,Hotel Beethoven Wien,"Papagenogasse 6, 1060 Wien, Österreich, Wien, Wien 1060, AUT",48.2000165,16.3641802
23,Courtyard by Marriott Vienna Prater Messe,"Trabrennstraße 4, 1020 Wien, Österreich, Wien, Wien 1020, AUT",48.2130607,16.4133973
24,Simm s Hotel,"Rinnböckstraße 58-60, 1110 Wien, Österreich, Wien, Wien 1110, AUT",48.1790835,16.4116997
25,Hotel Rathaus Wein Design,"Lange Gasse 13, 1080 Wien, Österreich, Wien, Wien 1080, AUT",48.2075294,16.3525967
26,InterContinental Wien,"Johannesgasse 28, 1030 Wien, Österreich, Wien, Wien 1030, AUT",48.2019865,16.3789934
27,JUFA Hotel Wien,"Mautner-Markhof-Gasse 50-54, 1110 Wien, Österreich, Wien, Wien 1110, AUT",48.1756283,16.4200957
28,Hotel de France Wien,"Maria-Theresien-Straße 4, 1010 Wien, Österreich, Wien, Wien 1010, AUT",48.2146623,16.3627994
29,Novotel Wien City,"Aspernbrückengasse 1, 1020 Wien, Österreich, Wien, Wien 1020, AUT",48.2134246,16.3831309
30,Hotel Imlauer Wien,"Rotensterngasse 10, 1020 Wien, Österreich, Wien, Wien 1020, AUT",48.2176776,16.3821364
31,Graben Hotel,"Dorotheergasse 3, 1010 Wien, Österreich, Wien, Wien 1010, AUT",48.2078955,16.3701084
32,Hotel Das Tigra,"Tiefer Graben 14, 1010 Wien, Österreich, Wien, Wien 1010, AUT",48.2121772,16.3680771
33,Hotel Mercure Wien City,"Hollandstraße 3, 1020 Wien, Österreich, Wien, Wien 1020, AUT",48.2152663,16.376103
34,NH Danube City,"Wagramer Straße 21, 1220 Wien, Österreich, Wien, Wien 1220, AUT",48.2353789,16.4219737
35,Hotel Landhaus Fuhrgassl Huber,"Rathstraße 24, 1190 Wien, Österreich, Wien, Wien 1190, AUT",48.2508693,16.304957
36,Mercure Josefshof Wien,"Josefsgasse 4-6, 1080 Wien, Österreich, Wien, Wien 1080, AUT",48.2085627,16.3541687
37,Hotel Am Parkring,"Liebenberggasse 6, 1010 Wien, Österreich, Wien, Wien 1010, AUT",48.2056333,16.3778615
38,Fleming s Conference Hotel Wien,"Neubaugürtel 26, 1070 Wien, Österreich, Wien, Wien 1070, AUT",48.1995177,16.3388225
39,Am Spiegeln,"Johann-Hörbiger-Gasse 30, 1230 Wien, Österreich, Wien, Wien 1230, AUT",48.1537005,16.2825822
40,Imperial Riding School Renaissance Vienna Hotel,"Ungargasse 69, 1030 Wien, Österreich, Wien, Wien 1030, AUT",48.1966396,16.3863822
41,Leonardo Hotel Vienna,"Mariahilfer Gürtel 30, 1060 Wien, Österreich, Wien, Wien 1060, AUT",48.1945297,16.340327
42,Mercure Wien Zentrum,"Fleischmarkt 1a, 1010 Wien, Österreich, Wien, Wien 1010, AUT",48.2114087,16.3746469
