,Name,Address,Latitude,Longitude
48,Holiday Inn London Stratford City,"145 The Street, London, E20 1EH, United Kingdom, London, England E20 1EH, GBR",51.5426054,-0.0072708
49,Kensington House Hotel,"6 Prince of Wales Terrace, London, W8 5, United Kingdom, London, England W8 5, GBR",51.5012329,-0.1859937
50,Park Plaza London Riverbank,"SE1 7TJ, London, England, United Kingdom, London, England SE1 7TJ, GBR",51.4913737,-0.1214194
51,Eccleston Square Hotel,"37 Eccleston Square, London, SW1P 4, United Kingdom, London, England SW1P 4, GBR",51.4911924,-0.1449474
52,Rathbone,"30 Rathbone Street, London, W1T 1, United Kingdom, London, England W1T 1, GBR",51.5186801,-0.1354055
53,The Rockwell,"SW5 0SS, London, England, United Kingdom, London, England SW5 0SS, GBR",51.4948059,-0.1926525
54,Gainsborough Hotel,"11 Queensberry Place, London, SW7 2DW, United Kingdom, London, England SW7 2DW, GBR",51.4948416,-0.1772056
55,DoubleTree by Hilton London Chelsea,"Imperial Road, London, SW6 2, United Kingdom, London, England SW6 2, GBR",51.475172,-0.1870629
56,The Gore Hotel Starhotels Collezione,"SW7 5EX, London, England, United Kingdom, London, England SW7 5EX, GBR",51.5001979,-0.1795357
57,Novotel London Wembley,"23 Fulton Road, Wembley, HA9 0, United Kingdom, Wembley, England HA9 0, GBR",51.5611271,-0.2787261
58,Shaftesbury Suites London Marble Arch,"41 Great Cumberland Place, London, W1H 7DQ, United Kingdom, London, England W1H 7DQ, GBR",51.515755,-0.1603335
59,The Colonnade,"2 Warrington Crescent, London, W9 1, United Kingdom, London, England W9 1, GBR",51.5243286,-0.1846623
60,The Leonard Hotel,"13 Seymour Street, London, W1H 7, United Kingdom, London, England W1H 7, GBR",51.5147071,-0.1578291
61,Best Western PLUS Epping Forest,"28 Oak Hill, Woodford Green, IG8 9, United Kingdom, Woodford Green, England IG8 9, GBR",51.603207,0.010607
62,Pullman London St Pancras,"Ossulston Street, London, NW1 2, United Kingdom, London, England NW1 2, GBR",51.5286766,-0.1283489
63,citizenM London Bankside,"Lavington Street, London, SE1 0, United Kingdom, London, England SE1 0, GBR",51.5051507,-0.1004724
64,Aloft London Excel,"Eastern Gateway, London, E16 1, United Kingdom, London, England E16 1, GBR",51.5083719,0.0355768
65,Novotel London Canary Wharf,"63 Manilla Street, London, E14 8, United Kingdom, London, England E14 8, GBR",51.5011704,-0.0232607
66,Danubius Hotel Regents Park,"NW8 7JT, London, England, United Kingdom, London, England NW8 7JT, GBR",51.529257,-0.168358
67,Clayton Hotel Chiswick,"626 Chiswick High Road, London, W4 5RY, United Kingdom, London, England W4 5RY, GBR",51.4924184,-0.2784701
68,St James Court A Taj Hotel London,"40 Buckingham Gate, London, SW1E 6BS, United Kingdom, London, England SW1E 6BS, GBR",51.4986732,-0.1376867
69,Grange Buckingham Hotel,"39 Bedford Place, London, WC1B 5JT, United Kingdom, London, England WC1B 5JT, GBR",51.5196124,-0.1239628
70,The Justin James Hotel,"43 Worple Road, London, SW19 4JZ, United Kingdom, London, England SW19 4JZ, GBR",51.4202661,-0.211268
71,Crowne Plaza London Kensington,"100 Cromwell Road, London, SW7 4ER, United Kingdom, London, England SW7 4ER, GBR",51.495179,-0.183827
72,DoubleTree by Hilton London West End,"90 Southampton Row, London, WC1A 2QP, United Kingdom, London, England WC1A 2QP, GBR",51.5201065,-0.1221393
73,Grange Clarendon Hotel,"34 Bedford Place, London, WC1B 5JR, United Kingdom, London, England WC1B 5JR, GBR",51.5197933,-0.1241844
74,The Athenaeum,"116 Piccadilly, London, W1J 7BJ, United Kingdom, London, England W1J 7BJ, GBR",51.504716,-0.1475618
75,The Stafford London,"18a St James's Place, London, SW1A 1, United Kingdom, London, England SW1A 1, GBR",51.5059087,-0.1403795
76,The Exhibitionist Hotel,"8 Queensberry Place, London, SW7 2EA, United Kingdom, London, England SW7 2EA, GBR",51.4947754,-0.177789
77,The Hoxton Shoreditch,"81 Great Eastern Street, London, EC2A 3HU, United Kingdom, London, England EC2A 3HU, GBR",51.5255136,-0.082927
78,Montcalm Royal London House City of London,"22-25 Finsbury Square, London, EC2A 1, United Kingdom, London, England EC2A 1, GBR",51.5218066,-0.0856081
79,Conrad London St James,"22-28 Broadway, London, SW1H 0, United Kingdom, London, England SW1H 0, GBR",51.4993927,-0.1329128
80,Britannia International Hotel Canary Wharf,"163 Marsh Wall, London, E14 9SJ, United Kingdom, London, England E14 9SJ, GBR",51.5019097,-0.0232208
81,Radisson Blu Edwardian Grafton,"5 Fitzroy Court, London, W1T 5, United Kingdom, London, England W1T 5, GBR",51.5241386,-0.1380807
82,Nottingham Place Hotel,"37 Nottingham Place, London, W1U 5LT, United Kingdom, London, England W1U 5LT, GBR",51.522143,-0.153385
83,Millennium Hotel London Knightsbridge,"23 Pavilion Road, London, SW1X 0, United Kingdom, London, England SW1X 0, GBR",51.4999683,-0.1599927
84,Mandarin Oriental Hyde Park London,"62 Knightsbridge, London, SW1X 7, United Kingdom, London, England SW1X 7, GBR",51.5022081,-0.1599428
85,The Marble Arch London,"31 Great Cumberland Place, London, W1H 7DP, United Kingdom, London, England W1H 7DP, GBR",51.5151247,-0.1600656
86,Novotel London City South,"53 Southwark Bridge Road, London, SE1 9HH, United Kingdom, London, England SE1 9HH, GBR",51.5054832,-0.0951196
87,Best Western The Boltons Hotel London Kensington,"19-21 Penywern Road, London, SW5 9, United Kingdom, London, England SW5 9, GBR",51.4907493,-0.1934627
88,The May Fair Hotel,"38 Stratton Street, London, W1J 8LT, United Kingdom, London, England W1J 8LT, GBR",51.5078943,-0.1436707
89,The Belgrave Hotel,"80 Belgrave Road, London, SW1V 2BJ, United Kingdom, London, England SW1V 2BJ, GBR",51.4901051,-0.1381355
90,Avo Hotel,"76 Dalston Lane, London, E8 3, United Kingdom, London, England E8 3, GBR",51.5460628,-0.0700817
91,The Drayton Court Hotel,"Dominion House, London, W13 8, United Kingdom, London, England W13 8, GBR",51.5141842,-0.3192925
92,South Place Hotel,"EC2M 2AF, London, England, United Kingdom, London, England EC2M 2AF, GBR",51.5189182,-0.0866009
93,Fielding Hotel,"6 Crown Court, London, WC2B 5EU, United Kingdom, London, England WC2B 5EU, GBR",51.5139315,-0.1219893
94,Royal Garden Hotel,"10 Kensington High Street, London, W8 5, United Kingdom, London, England W8 5, GBR",51.5027022,-0.1882164
95,The Cranley Hotel,"18 Bina Gardens, London, SW5 0LA, United Kingdom, London, England SW5 0LA, GBR",51.4916378,-0.1832833
96,The Westbury A Luxury Collection Hotel Mayfair London,"W1C 2HX, London, England, United Kingdom, London, England W1C 2HX, GBR",51.5144418,-0.146432
97,The Whitechapel,"49 Fordham Street, London, E1 1, United Kingdom, London, England E1 1, GBR",51.5161286,-0.0624458
98,The LaLit London,"Still Walk, London, SE1 2, United Kingdom, London, England SE1 2, GBR",51.5032524,-0.078179
99,The Premier Notting Hill,"5-7 Princes Square, London, W2 4, United Kingdom, London, England W2 4, GBR",51.5127453,-0.1926437
