,Name,Address,Latitude,Longitude
300,Hilton London Olympia,"7 Holland Road, London, W14 8, United Kingdom, London, England W14 8, GBR",51.4967399,-0.2064723
301,Park Plaza London Park Royal,"628 Western Avenue, London, W3 0TA, United Kingdom, London, England W3 0TA, GBR",51.527262,-0.282992
302,Arbor City,"12 Osborn Street, London, E1 6TE, United Kingdom, London, England E1 6TE, GBR",51.5166755,-0.0697897
303,Grand Royale London Hyde Park,"1 Inverness Terrace, London, W2 3, United Kingdom, London, England W2 3, GBR",51.5109945,-0.1863417
304,Goodenough Club,"25 Mecklenburgh Square, London, WC1N 2, United Kingdom, London, England WC1N 2, GBR",51.525535,-0.1180354
305,The Waldorf Hilton,"Aldwych, London, WC2A 2, United Kingdom, London, England WC2A 2, GBR",51.5131979,-0.1174504
306,41,"London, SW1W 0, United Kingdom, London, England SW1W 0, GBR",51.4981471,-0.1436492
307,Ambassadors Bloomsbury,"12 Upper Woburn Place, London, WC1H 0, United Kingdom, London, England WC1H 0, GBR",51.5266618,-0.1296571
308,Hotel Indigo London Tower Hill,"142 Minories, London, EC3N 1, United Kingdom, London, England EC3N 1, GBR",51.5128032,-0.07586
309,Park Grand London Hyde Park,"78 Westbourne Terrace, London, W2 6QA, United Kingdom, London, England W2 6QA, GBR",51.5157316,-0.1802179
310,Best Western Seraphine Kensington Olympia,"227 Kensington High Street, London, W8 7, United Kingdom, London, England W8 7, GBR",51.4992791,-0.1973593
311,Mercure London Bridge,"SE1 0JA, London, England, United Kingdom, London, England SE1 0JA, GBR",51.5052587,-0.099176
312,St Pancras Renaissance Hotel London,"Euston Road, London, NW1 2, United Kingdom, London, England NW1 2, GBR",51.5267769,-0.1324905
313,London Marriott Hotel Grosvenor Square,"London, W1K 4, United Kingdom, London, England W1K 4, GBR",51.511579,-0.1500193
314,The Ned,"Bucklersbury Passage, London, EC2R 8, United Kingdom, London, England EC2R 8, GBR",51.5135929,-0.0907833
315,Park Plaza London Waterloo,"6 Hercules Road, London, SE1 7DP, United Kingdom, London, England SE1 7DP, GBR",51.4982412,-0.1134715
316,Novotel London Excel,"Western Gateway, London, E16 1, United Kingdom, London, England E16 1, GBR",51.5077198,0.0229805
317,The Berkeley,"77 Knightsbridge, London, SW1X 8, United Kingdom, London, England SW1X 8, GBR",51.5020912,-0.1577795
318,11 Cadogan Gardens,"13 Cadogan Gardens, London, SW3 2, United Kingdom, London, England SW3 2, GBR",51.4936161,-0.1592347
319,Comfort Inn Suites Kings Cross St Pancras,"31-33 Argyle Street, London, WC1H 8, United Kingdom, London, England WC1H 8, GBR",51.5289499,-0.1232979
320,London Hilton on Park Lane,"22 Park Lane, London, W1K 1BE, United Kingdom, London, England W1K 1BE, GBR",51.5055513,-0.1501698
321,St Martins Lane A Morgans Original,"12 Mays Court, London, WC2N 4, United Kingdom, London, England WC2N 4, GBR",51.5104696,-0.1265824
322,The Nadler Victoria,"10 Palace Place, London, SW1E 5BJ, United Kingdom, London, England SW1E 5BJ, GBR",51.4990259,-0.1427453
323,Flemings Mayfair,"W1J 7BN, London, England, United Kingdom, London, England W1J 7BN, GBR",51.5064607,-0.1454198
