,Name,Address,Latitude,Longitude
100,citizenM Tower of London,"40 Trinity Square, London, EC3N 4DJ, United Kingdom, London, England EC3N 4DJ, GBR",51.510237,-0.0764428
101,Park Grand London Kensington,"SW5 0QQ, London, England, United Kingdom, London, England SW5 0QQ, GBR",51.4938468,-0.1917582
102,The Rembrandt,"12 North Terrace, London, SW7 2, United Kingdom, London, England SW7 2, GBR",51.4959227,-0.1702917
103,Blakemore Hyde Park,"30 Leinster Gardens, London, W2 3AN, United Kingdom, London, England W2 3AN, GBR",51.5129736,-0.1837431
104,Radisson Blu Portman Hotel London,"London, W1H 7, United Kingdom, London, England W1H 7, GBR",51.5161911,-0.1579487
105,Ace Hotel London Shoreditch,"100 Shoreditch High Street, London, E1 6JQ, United Kingdom, London, England E1 6JQ, GBR",51.5254162,-0.0772849
106,The Bryson Hotel,"Saffron Hill, London, EC1N 8, United Kingdom, London, England EC1N 8, GBR",51.5220869,-0.1082443
107,The Park City Grand Plaza Kensington Hotel,"16 Lexham Gardens, London, W8 5JE, United Kingdom, London, England W8 5JE, GBR",51.4954976,-0.1893691
108,Apex London Wall Hotel,"EC2R 7NJ, London, England, United Kingdom, London, England EC2R 7NJ, GBR",51.5160484,-0.0880181
109,H10 London Waterloo,"302 Waterloo Road, London, SE1 8, United Kingdom, London, England SE1 8, GBR",51.4988817,-0.1062888
110,Holiday Inn London Regent s Park,"Carburton Street, London, W1W 5, United Kingdom, London, England W1W 5, GBR",51.5222472,-0.1426128
111,45 Park Lane Dorchester Collection,"18a Curzon Street, London, W1J 7LA, United Kingdom, London, England W1J 7LA, GBR",51.5063709,-0.1515359
112,The Henrietta Hotel,"14 Henrietta Street, London, WC2E 8QH, United Kingdom, London, England WC2E 8QH, GBR",51.5109079,-0.1238221
113,Hotel du Vin Cannizaro House Wimbledon,"London, SW19 4, United Kingdom, London, England SW19 4, GBR",51.4242413,-0.2293503
114,London Marriott Hotel Regents Park,"185 Adelaide Road, London, NW3 3, United Kingdom, London, England NW3 3, GBR",51.5421476,-0.1703073
115,Great St Helen Hotel,"35 Great St Helens, London, EC3A 6AP, United Kingdom, London, England EC3A 6AP, GBR",51.5149583,-0.0823869
116,Hotel Cavendish,"73 Gower Street, London, WC1E 6, United Kingdom, London, England WC1E 6, GBR",51.5220522,-0.132414
117,The Soho Hotel,"4 Richmond Mews, London, W1D 3, United Kingdom, London, England W1D 3, GBR",51.5139805,-0.1337948
118,Sanderson A Morgans Hotel,"7 Wells Mews, London, W1T 3PQ, United Kingdom, London, England W1T 3PQ, GBR",51.5174853,-0.1372109
119,The Tower A Guoman Hotel,"St Katharine's Way, London, E1W 1, United Kingdom, London, England E1W 1, GBR",51.5064721,-0.0716893
120,Holiday Inn London Whitechapel,"Cavell Street, London, E1 2, United Kingdom, London, England E1 2, GBR",51.5154006,-0.0572364
121,Novotel London Blackfriars,"46 Blackfriars Road, London, SE1 8, United Kingdom, London, England SE1 8, GBR",51.5050165,-0.1049831
122,Jumeirah Lowndes Hotel,"18 Lowndes Street, London, SW1X 9EY, United Kingdom, London, England SW1X 9EY, GBR",51.4993652,-0.1576613
123,Innkeeper s Lodge London Greenwich,"Roan Street, London, SE10 8, United Kingdom, London, England SE10 8, GBR",51.4801631,-0.0097201
124,Radisson Blu Edwardian Berkshire,"355-361 Oxford Street, London, W1C 1, United Kingdom, London, England W1C 1, GBR",51.5146025,-0.1481978
125,London Marriott Hotel Park Lane,"141 Park Lane, London, W1K 7, United Kingdom, London, England W1K 7, GBR",51.5131428,-0.1576714
126,The Park Tower Knightsbridge a Luxury Collection Hotel,"London, SW1X 7, United Kingdom, London, England SW1X 7, GBR",51.5014191,-0.1625805
127,Hotel Indigo London Kensington,"SW5 0EW, London, England, United Kingdom, London, England SW5 0EW, GBR",51.4920287,-0.1917801
128,K West Hotel Spa,"3 Lakeside Road, London, W14 0DX, United Kingdom, London, England W14 0DX, GBR",51.5013149,-0.2174459
129,Hotel 55,"Hanger Lane, London, W5 2, United Kingdom, London, England W5 2, GBR",51.5213303,-0.2915052
130,The Grosvenor,"49 Buckingham Palace Road, London, SW1W 0, United Kingdom, London, England SW1W 0, GBR",51.4956657,-0.1452793
131,The Levin Hotel,"SW3 1AS, London, England, United Kingdom, London, England SW3 1AS, GBR",51.4998574,-0.161717
